"site","lat","lon"
"02298709",27.28643655,-82.3075921
"02299680",26.96117194,-82.3037052
"02299681",26.98505987,-82.3523173
"02299684",27.01005886,-82.36815079
"02299692",27.1117214,-82.36009439
"02299710",27.2347222,-82.3961194
"02299727",27.14394246,-82.4300958
"02299734",27.11271944,-82.4474111
"02299737",27.1964404,-82.4625963
"02299741",27.22588369,-82.4625961
"02299742",27.23171687,-82.49898589
"02299780",27.3231021,-82.4812073
"02299861",27.3678222,-82.5442639
"02299950",27.47365137,-82.211201
"023000095",27.51364999,-82.3670375
"02300017",27.57577778,-82.39738889
"02300018",27.55337054,-82.3895379
"02300029",27.41809824,-82.3992607
"02300032",27.4225425,-82.4164832
"02300033",27.42055556,-82.4261111
"02300034",27.421987,-82.4320391
"023000355",27.388655,-82.4595399
"023000358",27.4128207,-82.4487062
"02300036",27.405321,-82.4420394
"02300037",27.41448736,-82.4812069
"02300038",27.42365367,-82.490096
"02300039",27.4347643,-82.4675954
"02300044",27.445875,-82.4909292
"02300050",27.4530969,-82.4675954
"02300056",27.44531935,-82.5156519
"02300062",27.47920677,-82.52981869
"02300064",27.49642834,-82.52537409
"02300075",27.57991667,-82.51338889
"02300082",27.58805556,-82.5397222
"023000825",27.59125,-82.5521944
"02300084",27.595,-82.5561111
"023000842",27.59405556,-82.5633056
"023000843",27.59305556,-82.5611111
"02300100",27.70475366,-82.1978672
"02300130",27.70475349,-82.25647939
"02300210",27.60197978,-82.2112009
"02300300",27.6494778,-82.294258
"02300430",27.6905871,-82.3378699
"02300500",27.67114344,-82.3525925
"02300530",27.70780854,-82.3637038
"02300532",27.66475469,-82.3987046
"02300546",27.68864243,-82.4384275
"02300700",27.79197208,-82.3520369
"02300703",27.83502623,-82.3462035
"02300882",27.89030394,-82.01175129
"02300995",27.8800263,-82.0486968
"02301000",27.8839148,-82.10008689
"02301150",27.72930556,-82.0742778
"02301300",27.79669525,-82.1175877
"02301325",27.86308195,-82.14147688
"02301500",27.872248,-82.2112008
"02301635",27.85715556,-82.26858889
"02301638",27.85891477,-82.2737021
"02301695",27.8936357,-82.29842488
"02301718",27.86934167,-82.3264528
"02301719",27.85696987,-82.3575926
"02301721",27.85974739,-82.3842598
"02301738",27.88002457,-82.3706484
"02301740",27.8966908,-82.3498147
"02301745",27.902246,-82.3770375
"02301750",27.9258564,-82.3642595
"02301764",28.0425185,-82.3448141
"02301778",27.98363233,-82.3517593
"02301793",27.985021,-82.37175969
"02301802",27.9561331,-82.3706485
"02301870",28.25917524,-82.1053599
"02301900",28.18194444,-82.0125
"02301985",28.2144549,-82.1300832
"02301988",28.19334443,-82.16508419
"02301990",28.18555556,-82.1841667
"02302010",28.1786111,-82.1891667
"02302280",28.11946029,-82.1128623
"02302500",28.1397222,-82.15
"02303000",28.15029044,-82.23175318
"02303090",28.17933333,-82.2663333
"02303100",28.16556714,-82.265087
"02303174",28.02002103,-82.1370315
"02303180",28.04057533,-82.1542538
"02303205",28.02835317,-82.2453678
"02303300",28.0680729,-82.2675895
"02303325",28.08140543,-82.2856452
"02303330",28.0986111,-82.31138889
"02303332",28.08723838,-82.3325908
"02303346",28.20989167,-82.3475528
"02303348",28.17133333,-82.3622222
"02303350",28.1347222,-82.3619444
"02303351",28.1219588,-82.3717581
"02303354",28.08807164,-82.3512024
"02303360",28.07001697,-82.3770367
"02303400",28.32388889,-82.3836111
"02303410",28.2593611,-82.3861111
"02303420",28.1872222,-82.4022222
"02303424",28.17130556,-82.3886111
"02303800",28.08888889,-82.4091667
"02304000",28.05446224,-82.3637032
"02304500",28.02390784,-82.4275939
"02304510",28.02113015,-82.4345385
"02304517",28.0151611,-82.4424056
"02304520",28.0197412,-82.451761
"02305780",28.0689057,-82.4564832
"02305851",28.05862836,-82.4612055
"023060013",28.0202967,-82.4548166
"02306028",27.94196627,-82.4587057
"02306500",28.04307328,-82.5117623
"02306647",28.01390775,-82.5450963
"02306651",27.9994639,-82.5037065
"023066535",28.0000972,-82.5417667
"02306654",28.00048604,-82.556316
"02306660",27.99307525,-82.5039843
"02306774",28.06583333,-82.5658333
"02306904",28.0838611,-82.525
"02306910",28.06973888,-82.5323183
"02306950",28.06501684,-82.5553744
"02307000",28.03696237,-82.5759304
"02307032",28.0508507,-82.6267649
"02307200",28.12890323,-82.5703748
"02307323",28.14084726,-82.6398209
"02307359",28.09643229,-82.6871441
"02307362",28.08682987,-82.6937554
"02307445",28.07705556,-82.6977778
"02307496",28.06850278,-82.72248889
"02307498",28.05362833,-82.7109336
"02307668",27.9797421,-82.7423232
"02310800",28.36084067,-81.8186886
"02307669",27.97319444,-82.7294444
"02307671",27.97529783,-82.7273228
"02307672",27.97224239,-82.7256561
"02307673",27.9730757,-82.7156559
"02307674",27.97550618,-82.7131558
"02307731",27.9419656,-82.7498233
"02307780",27.91585545,-82.7248228
"02307834",27.87194444,-82.6897222
"02307835",27.87194444,-82.6897222
"02308776",27.7625274,-82.7276006
"02308861",27.8733569,-82.7267672
"02308865",27.90780025,-82.6759327
