"site","lat","lon"
"21FLMANA-456",27.5322916,-82.6884444
"21FLMANA-435",27.533,-82.6668333
"21FLMANA-449",27.5458083,-82.70095
"21FLMANA-452",27.5412777,-82.7170555
"21FLMANA-455",27.535,-82.7313333
"21FLBRA-GW-BC",27.6016666,-82.4711111
"21FLBRA-GW-LMR",27.6219777,-82.4656944
"21FLBRA-SW-BC",27.6218055,-82.4666388
"21FLBRA-SW-LMR",27.6217222,-82.4656666
"21FLGFWF-03100208-005",28.8345167,-82.3248833
"21FLGFWF-03100208-010",28.8349317,-82.3273983
"21FLGFWF-03100208-ML-01",28.1644667,-81.8415
"21FLGFWF-03100208-ML-02",28.1666,-81.8450667
"21FLGFWF-03100208-ML-03",28.1708833,-81.8453333
"21FLGFWF-03100208-ML-04",28.1779333,-81.84395
"21FLMANA-202",27.6665361,-82.5590666
"21FLMANA-336",27.6474222,-82.5651611
"21FLMANA-357",27.6494777,-82.5784527
"21FLMANA-361",27.6285166,-82.5919333
"21FLMANA-362",27.612975,-82.5776416
"21FLMANA-365",27.6124472,-82.60665
"21FLMANA-386",27.6059861,-82.6011666
"21FLMANA-395",27.5508861,-82.5730722
"21FLMANA-396",27.5910583,-82.6217555
"21FLMANA-400",27.5725833,-82.6296444
"21FLMANA-405",27.5526666,-82.5706666
"21FLMANA-408",27.5478333,-82.5991666
"21FLMANA-421",27.5765083,-82.6524944
"21FLMANA-422",27.5574833,-82.6332166
"21FLMANA-425",27.5482722,-82.6607333
"21FLMANA-428",27.5520083,-82.6717
"21FLMANA-430",27.5273305,-82.6095805
"21FLMANA-431",27.5111972,-82.5979388
"21FLMANA-432",27.5431,-82.6445527
"21FLMANA-433",27.5209638,-82.6326805
"21FLMANA-434",27.5173333,-82.6188333
"21FLMANA-458",27.497,-82.6568333
"21FLMANA-459",27.5288277,-82.7036111
"21FLMANA-460",27.5167083,-82.6853166
"21FLMANA-464",27.4960361,-82.6954416
"21FLMANA-532",27.5056944,-82.5420222
"21FLMANA-535",27.5033333,-82.5675
"21FLMANA-587",27.4731888,-82.6487416
"21FLMANA-589",27.4815027,-82.683075
"21FLMANA-590",27.469,-82.6636666
"21FLMANA-597",27.4152527,-82.5946722
"21FLMANA-598",27.4355833,-82.6398083
"21FLMANA-600",27.4187472,-82.6059333
"21FLMANA-604",27.4024194,-82.5806416
"21FLMANA-607",27.3990416,-82.6005166
"21FLMANA-608",27.3802027,-82.5922444
"21FLMANA-658",27.4811166,-82.6992861
"21FLMANA-659",27.4665,-82.6875
"21FLMANA-660",27.4533194,-82.6752222
"21FLMANA-667",27.4371444,-82.6607805
"21FLMANA-668",27.4215194,-82.6468555
"21FLMANA-669",27.4111666,-82.6431666
"21FLMANA-676",27.3976833,-82.6268611
"21FLMANA-BC41",27.4164166,-82.5749166
"21FLMANA-BR1",27.428,-82.4825
"21FLMANA-BR2",27.4171666,-82.468
"21FLMANA-BR3",27.4125,-82.4558333
"21FLMANA-CH1",27.48642,-82.64173
"21FLMANA-D1",27.6494444,-82.2944444
"21FLMANA-D3",27.6019444,-82.2111111
"21FLMANA-ER1",27.4298333,-82.486
"21FLMANA-ER2",27.4385,-82.4875
"21FLMANA-FC1",27.59107,-82.55246
"21FLMANA-GC1",27.5580555,-82.3697222
"21FLMANA-GC2",27.5535833,-82.3728666
"21FLMANA-LL1",27.4115,-82.449
"21FLMANA-LM3",27.4943333,-82.5246666
"21FLMANA-LM4",27.5288333,-82.5051666
"21FLMANA-LM5",27.52462,-82.43203
"21FLMANA-LM6",27.51378,-82.40921
"21FLMANA-TS1",27.4241666,-82.4945
"21FLMANA-TS2",27.414,-82.4813333
"21FLMANA-TS3",27.3715,-82.4596666
"21FLMANA-TS4",27.3971666,-82.4506666
"21FLMANA-TS5",27.4206666,-82.4331666
"21FLMANA-TS6",27.4206666,-82.4215
"21FLMANA-TS7",27.435,-82.4683333
"21FLMANA-UM1",27.5141666,-82.3668333
"21FLMANA-UM2",27.4933333,-82.3548333
"21FLMANA-UM3",27.4945,-82.3076666
"21FLMANA-UM4",27.4675,-82.2706666
"21FLSFWM-EBWCD11",28.188361,-81.701611
"21FLSMRC-CBENOPCSW404",27.4036138,-82.37165
"21FLSMRC-CBENOPCSW504",27.4112527,-82.3760416
"21FLSMRC-CBENOPCSW604",27.4101194,-82.3990166
"21FLSMRC-CBNOPCSW1",27.4164388,-82.4325194
"21FLSMRC-CBNOPCSW2",27.4219,-82.4321944
"21FLSMRC-CBNOPCSW3",27.4213666,-82.4184055
"21FLSMRC-CBNOPCSW4",27.4237861,-82.4150694
"21FLSMRC-NWDRISW1",27.4853555,-82.4294861
"21FLSMRC-NWDRISW2",27.4826916,-82.4070388
"21FLSMRC-NWDRISW3",27.4600555,-82.3954916
"21FLSMRC-NWDRISW4",27.4403388,-82.3954472
"21FLSMRC-NWDRISW5",27.4324194,-82.4098666
"21FLSMRC-NWDRISW6",27.4326111,-82.4292777
"21FLSMRC-NWDRISW7",27.4623722,-82.4323722
"21FLSMRC-NWDRISW8",27.4735277,-82.4332555
"21FLSMRC-ULNOPCSW104",27.3941305,-82.39815
"21FLSMRC-ULNOPCSW204",27.3863861,-82.3978166
"21FLSMRC-ULNOPCSW304",27.3863944,-82.3775083
"21FLSMRC-ULNOPCSW404",27.4036138,-82.37165
"CENTREAL-MW-10",27.62342,-82.48811
"CENTREAL-MW-6",27.64511,-82.48706
"CENTREAL-MW-9",27.63492,-82.49697
"FWCLOCAL-03080102-LLT-01",29,-82.04294
"FWCLOCAL-03100101-LH-01A",28.03556,-81.96722
"FWCLOCAL-03100101-LH-02A",28.03417,-81.96667
"FWCLOCAL-03100101-LH-03A",28.03139,-81.96667
"FWCLOCAL-03100101-LH-04A",28.03111,-81.96806
"FWCLOCAL-03100204-005",27.72289,-82.06308
"FWCLOCAL-03100204-010",27.76153,-82.13906
"FWCLOCAL-03100204-015",27.88211,-82.10106
"FWCLOCAL-03100204-020",27.86586,-82.14361
"FWCLOCAL-03100204-030",27.86856,-82.29408
"FWCLOCAL-03100205-HR-01",28.05406,-82.34914
"FWCLOCAL-03100205-HR-02",28.01622,-82.34904
"FWCLOCAL-03100205-HR-03",28.1027,-82.26982
"FWCLOCAL-03100208-BG-01",28.57611,-82.08472
"FWCLOCAL-03100208-BG-02",28.57611,-82.08472
"FWCLOCAL-03100208-RCH-01",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-02",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-03",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-04",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-05",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-06",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-07",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-08",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-09",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-10",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-11",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-12",28.4808333,-82.0475
"FWCLOCAL-03100208-RCH-13",28.4808333,-82.0475
