"org","CharacteristicName","nobs","nstation","mindate","maxdate"
"Biological Research Associates (Florida)","Inorganic nitrogen (nitrate and nitrite) as N",47,8,2005-09-26,2007-10-23
"Biological Research Associates (Florida)","Kjeldahl nitrogen",47,8,2005-09-26,2007-10-23
"Biological Research Associates (Florida)","Nitrate as N",10,1,2005-09-26,2006-06-07
"Biological Research Associates (Florida)","Nitrite as N",10,1,2005-09-26,2006-06-07
"City of St Petersburg","Ammonia-nitrogen",909,67,2013-06-26,2017-10-31
"City of St Petersburg","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite",1416,260,2013-07-01,2021-03-23
"City of St Petersburg","Kjeldahl nitrogen",917,67,2013-06-26,2017-10-31
"City of St Petersburg","Nitrate",6,6,2021-10-25,2021-10-26
"City of St Petersburg","Nitrate + Nitrite",108,53,2021-05-13,2021-12-28
"City of St Petersburg","Nitrite",7,7,2021-10-21,2021-10-26
"City of St Petersburg","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",903,67,2013-06-26,2017-10-31
"City of St Petersburg","Total Kjeldahl nitrogen (Organic N & NH3)",622,248,2017-03-20,2021-12-28
"City of Tampa Bay Study Group (Florida)","Ammonia-nitrogen",936,7,1990-01-10,2005-12-13
"City of Tampa Bay Study Group (Florida)","Inorganic nitrogen (nitrate and nitrite) as N",946,7,1990-01-10,2005-12-13
"City of Tampa Bay Study Group (Florida)","Kjeldahl nitrogen",948,7,1990-01-10,2005-12-13
"City of Tampa Bay Study Group (Florida)","Nitrogen ion",948,7,1990-01-10,2005-12-13
"EPA National Aquatic Resources Survey (NARS)","Inorganic nitrogen (ammonia, nitrate and nitrite)***retired***use Inorganic nitrogen (NO2, NO3, & NH3)",50,45,2000-07-12,2006-07-03
"EPA National Aquatic Resources Survey (NARS)","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite",12,6,2010-06-02,2010-06-10
"EPA National Aquatic Resources Survey (NARS)","Nitrate + Nitrite",8,7,2015-06-01,2015-07-21
